txn_id,merchant_id,timestamp,amount,hour_of_day,is_odd_hour,billing_city,shipping_city,location_mismatch,device_type,new_device_flag,velocity_last_hour,amount_deviation_ratio,is_fraud
T10000,M115,2026-07-30T22:10:39.750457,5532.57,22,0,Jaipur,Hyderabad,1,tablet,0,1,0.69,0
T10001,M102,2026-08-31T01:44:46.750511,1611.81,1,1,Chennai,Delhi,1,mobile,0,3,1.07,1
T10002,M113,2026-08-23T19:26:29.750540,3372.23,19,0,Bengaluru,Chennai,1,mobile,0,1,0.17,0
T10003,M137,2026-08-12T18:57:41.750556,3012.05,18,0,Kolkata,Pune,1,mobile,0,8,1.0,0
T10004,M103,2026-09-02T19:03:27.750567,716.95,19,1,Kolkata,Bhubaneswar,1,mobile,0,1,1.43,0
T10005,M116,2026-08-18T20:21:17.750580,4072.03,20,0,Mumbai,Delhi,1,tablet,0,3,1.36,0
T10006,M121,2026-07-28T09:46:03.750591,177940.23,9,0,Chennai,Jaipur,1,mobile,0,1,8.9,0
T10007,M132,2026-08-21T13:18:06.750605,613.0,13,0,Pune,Bengaluru,1,tablet,1,4,1.23,1
T10008,M138,2026-08-07T17:28:09.750615,402.83,17,0,Chennai,Hyderabad,1,mobile,0,1,0.81,0
T10009,M131,2026-08-31T14:32:09.750625,506.97,14,0,Jaipur,Bengaluru,1,mobile,1,1,1.01,0
T10010,M133,2026-09-03T08:15:29.750634,570.56,8,0,Hyderabad,Chennai,1,desktop,0,8,0.19,0
T10011,M133,2026-08-13T21:49:10.750646,1076.26,21,0,Hyderabad,Delhi,1,desktop,0,1,0.36,0
T10012,M100,2026-07-26T10:30:46.750656,481.76,10,0,Mumbai,Pune,1,mobile,0,1,0.96,0
T10013,M134,2026-07-29T09:57:16.750665,2596.55,9,0,Bhubaneswar,Bhubaneswar,0,desktop,0,1,0.87,0
T10014,M106,2026-07-27T16:43:57.750674,398.76,16,0,Mumbai,Delhi,1,mobile,0,1,0.8,0
T10015,M115,2026-08-01T07:01:07.750684,5483.19,7,0,Ahmedabad,Bengaluru,1,desktop,0,1,0.69,0
T10016,M104,2026-08-13T12:05:05.750693,25615.14,12,0,Jaipur,Mumbai,1,mobile,0,3,1.28,0
T10017,M131,2026-08-15T08:37:23.750702,132.15,8,1,Kolkata,Mumbai,1,mobile,1,1,0.26,0
T10018,M129,2026-08-05T20:08:21.750710,55.33,20,0,Jaipur,Ahmedabad,1,mobile,0,1,0.11,0
T10019,M134,2026-07-25T22:49:14.750719,4401.78,22,1,Mumbai,Mumbai,0,tablet,1,1,1.47,0
T10020,M103,2026-08-16T15:27:47.750728,612.34,15,0,Hyderabad,Kolkata,1,mobile,0,4,1.22,0
T10021,M102,2026-08-22T01:25:54.750739,1685.58,1,1,Bhubaneswar,Bhubaneswar,0,tablet,0,1,1.12,0
T10022,M120,2026-08-03T13:53:21.750885,2937.74,13,0,Ahmedabad,Pune,1,mobile,0,1,0.98,0
T10023,M106,2026-07-26T13:09:17.750898,605.42,13,0,Jaipur,Chennai,1,mobile,1,4,1.21,1
T10024,M123,2026-08-05T19:50:03.750909,11320.23,19,1,Bhubaneswar,Jaipur,1,mobile,0,1,1.42,1
T10025,M106,2026-09-03T14:53:31.750920,816.98,14,0,Delhi,Delhi,0,tablet,0,1,1.63,0
T10026,M121,2026-08-01T21:00:29.750929,14005.62,21,0,Chennai,Mumbai,1,mobile,0,1,0.7,0
